MoldID,LegacyMoldID,MoldName,MoldCode,CustomerID,TrayID,MoldDesignID,storage_company,RackLayerID,ItemTypeID,MoldLengthModified,MoldWidthModified,MoldHeightModified,MoldWeightModified,MoldNotes,MoldUsageStatus,MoldOnCheckList,JobID,MoldReturning,MoldReturnedDate,MoldDisposing,MoldDisposedDate,MoldEntry,WebUUID,UpdatedAt,UpdatedBy
2482,2482,,,,,,,,,,,,3.9,,,,,,,,,,WEBUUID1774231751534_y7u8p1q4s,2026-03-23T11:09:11.534Z,
2483,2483,,,,,,,,,,,,4.2,,,,,,,,,,WEBUUID1774231738908_jhhkq79t4,2026-03-23T11:08:58.908Z,
258,258,,,,,,,,,,,,6.15,,,,,,,,,,WEBUUID1774231720389_4f0qb80yx,2026-03-23T11:08:40.389Z,
261,261,,,,,,,,,,,,8.85,,,,,,,,,,WEBUUID1774231695838_4zlteqeib,2026-03-23T11:08:15.838Z,
262,262,,,,,,,,,,,,8.35,,,,,,,,,,WEBUUID1774231674015_ewph0jyno,2026-03-23T11:07:54.015Z,
259,259,,,,,,,,,,,,7.65,,,,,,,,,,WEBUUID1774231653229_3c6f9qqow,2026-03-23T11:07:33.229Z,
255,255,,,,,,,,,,,,10.3,,,,,,,,,,WEBUUID1774231586075_0mt35h6zw,2026-03-23T11:06:26.075Z,
256,256,,,,,,,,,,,,13.4,,,,,,,,,,WEBUUID1774231573036_29y89h7xc,2026-03-23T11:06:13.036Z,
264,264,,,,,,,,,,,,10.75,,,,,,,,,,WEBUUID1774231558325_0kgsvr6y3,2026-03-23T11:05:58.325Z,
2874,2874,,,,,,,,,,,,4.9,,,,,,,,,,WEBUUID1774231556244_63r309fic,2026-03-23T11:05:56.244Z,
257,257,,,,,,,,,,,,7.6,,,,,,,,,,WEBUUID1774231555690_xqclc920a,2026-03-23T11:05:55.690Z,
5421,5421,,,,,,,233,,,,,13.3,,,,,FALSE,2026-03-19,FALSE,,,WEB_UUID_1773905219111_3j1fh6sxu,2026-03-19T16:26:59.111Z,
5764,5764,,,,,,,,,,,,test3,,,,,,,,,,WEBUUID1773893761109_u0b7n7nca,2026-03-19T13:16:01.109Z,
5515,5515,,,,,,,72,,,,,,,,,,,,,,,WEBUUID1773793012754_leh11z2c2,2026-03-18T09:16:52.754Z,1
5765,5765,,,,,,,700,,,,,test3.20,,,,,,,,,,WEBUUID1773735957909_78dlsni7k,2026-03-18T11:55:23.563Z,1
5747,5747,,,,,,,707,,,,,6.6,,,,,FALSE,,FALSE,,,WEB_UUID_1773542774828_lyfl80yx4,2026-03-15T11:46:14.828Z,
5559,5559,,,,,,,233,,,,,,,,,,,,,,,WEBUUID1773467753305_zfwnoqct5,2026-03-14T14:55:53.305Z,1
5753,5753,,,,,,,711,,210,160,,test,,,,,FALSE,,FALSE,,,WEBUUID1773465412380_gowpa60qq,2026-03-19T18:13:58.236Z,1
5684,5684,,,,,,,94,,,,,,,,,,FALSE,,FALSE,,,WEB_UUID_1773396732702_0zfg8wqkt,2026-03-13T19:12:12.702Z,
5740,5740,,,,,,,707,,,,,,test 8.5.3 2026.3.13,,,,FALSE,,FALSE,,,WEB_UUID_1773395009765_yfho63tha,2026-03-13T18:43:29.765Z,
